Area (km2) 	Length (m)	Type	MTD	Type names	Equation
120000	175	1		Attached MTDs	L = 1.41A^(0.51). R2 = 0.80
115000	150	1		Detached MTDs	
79488	137	1		All MTDs	
66000	100	1			
50000	400	1			
48000	700	1			
40000	600	1			
38740	410	1			
30000	500	1			
30000	300	1			
27000	200	1			
23700	160	1			
20278	410	1			
14000	170	1			
12900	305	1			
10500	104	1			
10000	200	1			
9600	210	1			
8000	100	1			
7700	150	1			
7000	200	1			
6800	130	1			
6200	100	1			
5990	90	1			
5530	93	1			
5509	167	1			
5500	100	1			
4800	100	1			
4000	100	1			
3940	40	1			
3400	62	1			
3300	120	1			
3200	80	1			
3101	50	1			
3000	120	1			
3000	50	1			
3000	60	1			
2913	124	1			
2742	122	1			
2500	80	1			
2460	110	1			
2400	60	1			
2250	114	1			
2040	40	1			
2028	35	1			
2017	140	1			
2000	110	1			
1972	67.4	1			
1900	40	1			
1800	55	1			
1756	54	1			
1674	40	1			
1600	250	1			
1500	120	1			
1500	60	1			
1497.7	110	1			
1394	79	1			
1328	30	1			
1223	28	1			
1163	57	1			
1156	79	1			
1125	20	1			
1100	65	1			
1098	89	1			
1085	90	1			
1043	71.8	1			
1000	50	1			
966	80	1			
950	45	1			
800	40	1			
748	45	1			
721	30	1			
716	69	1			
705	85	1			
700	35	1			
700	60	1			
636	28	1			
626	40	1			
563	40.2	1			
525	51	1			
505	55.8	1			
460	22	1			
452	49	1			
370	30	1			
360.5	31	1			
321	26.aug	1			
316.8	36.2	1			
300	20	1			
300	15	1			
295	48	1			
280	20	1			
250	25	1			
239	22	1			
230	11	1			
230	30	1			
208	26	1			
200	20	1			
196.4	37.6	1			
167	11	1			
167	16	1			
159	17	1			
148	12	1			
144.6	31.6	1			
143	12	1			
123.8	12.mai	1			
115.9	26.sep	1			
107	26	1			
100	38	1			
81.8	23	1			
81.6	13.jun	1			
80.9	12.sep	1			
80.3	11.mai	1			
76.3	12.aug	1			
67.2	15.feb	1			
65	13	1			
64.1	17.feb	1			
63.7	14	1			
50.5	07.aug	1			
50	10	1			
48.1	11.mar	1			
40.3	17.mar	1			
36.7	20.feb	1			
28.jul	14.sep	1			
25	5	1			
25	5	1			
24.mai	09.apr	1			
3300	120	1			
169.25	32	1			
107.53	20	1			
59.1	15	1			
452.1	45	1			
159.6	25	1			
306.52	34	1			
569.24	35	1			
826.87	65	1			
469.73	35	1			
238.07	30	1			
463.24	45	1			
81.9	15	1			
697.61	45	1			
223.27	28	1			
170.15	22	1			
117.82	20	1			
338.28	32	1			
135.92	25	1			
746.23	45	1			
1003.38	40	1			
341.02	30	1			
121.01	20	1			
14000	140	1			
6800	100	1			
3900	80	1			
6100	50	1			
23000	235	1			
13000	195	1			
4900	85	1			
6100	150	1			
3500	130	1			
4600	80	1			
2300	88	1			
1700	95	1			
850	85	1			
950	75	1			
5200	40	1			
200	20	1			
500	15	1			
430	30	0			
300	30	0			
194	15	0			
180	36	0			
110	22	0			
100	65	0			
100	10	0			
95	21	0			
85	7	0			
78	21	0			
71	15	0			
70	05.aug	0			
62	12	0			
62	21	0			
62	12	0			
60	10	0			
56	28	0			
56	14	0			
55	07.jan	0			
52	14	0			
52	16	0			
50	10	0			
48	05.mai	0			
48	12	0			
48	10	0			
44	03.aug	0			
44	8	0			
42	06.aug	0			
42	17	0			
40	04.feb	0			
40	12	0			
39	08.jul	0			
36	08.feb	0			
35	07.jan	0			
34	07.jun	0			
34	07.sep	0			
33	06.jul	0			
33	11	0			
32	03.sep	0			
30	02.sep	0			
30	08.sep	0			
29	12	0			
28	07.mar	0			
28	05.jul	0			
27	12	0			
27	10	0			
25	9	0			
24	06.jun	0			
22	05.jun	0			
22	05.apr	0			
22	11	0			
21.apr	08.jul	0			
21.feb	15	0			
21	03.jan	0			
21	02.jan	0			
21	05.jun	0			
18	9	0			
17	09.jan	0			
16	06.sep	0			
15	05.jul	0			
15	08.aug	0			
15	08.jun	0			
15	06.mai	0			
15	11	0			
15	10	0			
15	10	0			
14	08.mar	0			
13	05.sep	0			
13	04.apr	0			
13	02.apr	0			
12	08.jun	0			
11.mar	05.apr	0			
11	06.mai	0			
10.mar	3	0			
10	10	0			
10	04.feb	0			
09.aug	01.mar	0			
09.jun	04.sep	0			
09.jan	04.jun	0			
8	01.mai	0			
07.jun	01.apr	0			
7	7	0			
7	6	0			
06.aug	02.jul	0			
6	6	0			
05.apr	02.mai	0			
5	05.apr	0			
04.jul	7	0			
4	4	0			
4	2	0			
4	02.mar	0			
mar.93	feb.25	0			
03.mai	03.mar	0			
3	01.mar	0			
3	01.apr	0			
feb.81	mar.75	0			
2	0.9	0			
01.aug	0.7	0			
01.jul	1	0			
01.mai	01.jun	0			
01.apr	01.feb	0			
1	01.mar	0			
1	0.8	0			
0.8	0.9	0			
0.7	01.feb	0			
0.7	1	0			
0.7	1	0			
0.7	1	0			
0.6	0.3	0			
0.5	0.6	0			
0.5	0.9	0			
0.3	0.5	0			
0.2	01.jun	0			
0.2	01.jul	0			
0.06	0.3	0			
800	40	0			
432	16	0			
24	3	0			
mar.75	01.mai	0			
1	1	0			
0.5	1	0			